Concept Id,CPT Code,Clinician Descriptor Id,Clinician Descriptor
1002883,00563,10000083,"Anesthesia for procedure on heart, pericardial sac, and great vessels of chest with pump oxygenator and hypothermic circulatory arrest"
1002883,00563,10024482,Anesthesia for procedure on great vessels of chest with pump oxygenator and hypothermic circulatory arrest
1002883,00563,10024483,Anesthesia for procedure on heart with pump oxygenator and hypothermic circulatory arrest
1002884,00566,10000084,Anesthesia for direct coronary artery bypass grafting
1018995,00567,10000085,Anesthesia for direct coronary artery bypass grafting with pump oxygenator
1002885,00580,10000086,Anesthesia for heart transplant
1002885,00580,10024484,Anesthesia for heart and lung transplant
1002888,00600,10000088,Anesthesia for procedure on cervical spine and spinal cord
1002888,00600,10024485,Anesthesia for procedure on cervical spinal cord
1002888,00600,10024486,Anesthesia for procedure on cervical spine
1002889,00604,10000089,Anesthesia for procedure on cervical spine and spinal cord
1002889,00604,10024487,Anesthesia for procedure on cervical spinal cord in sitting position
1002889,00604,10024488,Anesthesia for procedure on cervical spine and spinal cord in sitting position
1002889,00604,10024489,Anesthesia for procedure on cervical spine in sitting position
1002891,00620,10000090,Anesthesia for procedure on thoracic spine and spinal cord
1002891,00620,10024490,Anesthesia for procedure on thoracic spinal cord
1002891,00620,10024491,Anesthesia for procedure on thoracic spine
1014943,00625,10000092,Anesthesia for procedure on thoracic spine and spinal cord
1014943,00625,10024492,Anesthesia for procedure on thoracic spinal cord by anterior transthoracic approach
1014943,00625,10024493,Anesthesia for procedure on thoracic spine and spinal cord by anterior transthoracic approach
1014943,00625,10024494,Anesthesia for procedure on thoracic spine by anterior transthoracic approach
1014944,00626,10024495,Anesthesia for procedure on thoracic spine and spinal cord with one-lung lung ventilation
1002894,00630,10000094,Anesthesia for procedure in lumbar region
1002895,00632,10000095,Anesthesia for lumbar sympathectomy
1002897,00635,10000097,Anesthesia for lumbar puncture
1002897,00635,10024496,Anesthesia for diagnostic lumbar puncture
1002897,00635,10024497,Anesthesia for therapeutic lumbar puncture
1002898,00640,10000098,Anesthesia for closed procedure on cervical spine
1002898,00640,10000099,Anesthesia for closed procedure on lumbar spine
1002898,00640,10000100,Anesthesia for closed procedure on thoracic spine
1002898,00640,10000101,Anesthesia for manipulation of cervical spine
1002898,00640,10000102,Anesthesia for manipulation of lumbar spine
1002898,00640,10000103,Anesthesia for manipulation of spine
1002898,00640,10000104,Anesthesia for manipulation of thoracic spine
1002899,00670,10000105,Anesthesia for procedure of spine and spinal cord
1002899,00670,10024498,Anesthesia for extensive procedure of spine and spinal cord
1002899,00670,10024499,Anesthesia for spinal instrumentation procedure
1002899,00670,10024500,Anesthesia for vascular procedure of spine and spinal cord
1002902,00700,10000106,Anesthesia for procedure on upper anterior abdominal wall
1002903,00702,10000107,Anesthesia for percutaneous liver biopsy
1002904,00730,10000108,Anesthesia for procedure on upper posterior abdominal wall
1030892,00731,10031208,Anesthesia for upper gastrointestinal endoscopic procedure proximal to duodenum
1030893,00732,10031209,Anesthesia for endoscopic retrograde cholangiopancreatography (ERCP)
1002907,00750,10024501,Anesthesia for repair of upper abdominal hernia
1002908,00752,10000111,Anesthesia for repair of abdominal wound dehiscence
1002908,00752,10000112,Anesthesia for repair of lumbar and ventral incisional hernia of upper abdomen with repair of wound dehiscence
1002909,00754,10024502,Anesthesia for repair of omphalocele
1002910,00756,10000115,Anesthesia for transabdominal repair of diaphragmatic hernia
1002911,00770,10000116,Anesthesia for procedure on major abdominal blood vessel
1002913,00790,10000117,Anesthesia for laparoscopic procedure on upper abdomen
1002914,00792,10000119,Anesthesia for partial hepatectomy
1002914,00792,10024503,Anesthesia for intraperitoneal procedure for management of liver hemorrhage
1002915,00794,10000120,Anesthesia for partial pancreatectomy
1002915,00794,10000121,Anesthesia for total pancreatectomy
1002916,00796,10000122,Anesthesia for liver transplant
1002917,00797,10000123,Anesthesia for gastric restrictive procedure
1002920,00800,10000124,Anesthesia for procedure on lower anterior abdominal wall
1002921,00802,10000125,Anesthesia for panniculectomy
1030894,00811,10031210,Anesthesia for lower gastrointestinal endoscopic procedure distal to duodenum
1030895,00812,10031211,Anesthesia for screening colonoscopy
1030896,00813,10031212,Anesthesia for combined upper and lower gastrointestinal endoscopic procedures
1002923,00820,10000127,Anesthesia for procedure on lower posterior abdominal wall
1002925,00830,10000128,Anesthesia for repair of lower abdominal hernia
1002926,00832,10024504,Anesthesia for repair of incisional hernia of lower abdomen
1002926,00832,10024505,Anesthesia for repair of ventral hernia of lower abdomen
1002927,00834,10000130,Anesthesia for repair of lower abdominal hernia
1002928,00836,10000131,Anesthesia for repair of lower abdominal hernia
1002930,00840,10024506,Anesthesia for intraperitoneal procedure of lower abdomen
1002930,00840,10024507,Anesthesia for laparoscopic procedure of lower abdomen
1002931,00842,10000133,Anesthesia for amniocentesis
1002932,00844,10000134,Anesthesia for abdominoperineal resection
1002933,00846,10000135,Anesthesia for radical hysterectomy
1002934,00848,10024508,Anesthesia for pelvic exenteration
1002935,00851,10000137,Anesthesia for tubal ligation
1002935,00851,10000138,Anesthesia for tubal transection
1002937,00860,10000139,Anesthesia for extraperitoneal procedure on lower abdomen
1002937,00860,10024509,Anesthesia for extraperitoneal procedure on urinary tract
1002938,00862,10000140,Anesthesia for donor nephrectomy
1002938,00862,10000141,Anesthesia for renal procedure
1002939,00864,10000142,Anesthesia for total cystectomy
1002940,00865,10000143,Anesthesia for radical prostatectomy
1002940,00865,10024510,Anesthesia for radical prostatectomy by retropubic approach
1002940,00865,10024511,Anesthesia for radical prostatectomy by suprapubic approach
1002941,00866,10000144,Anesthesia for adrenalectomy
1002942,00868,10000145,Anesthesia for renal transplant
1002943,00870,10000146,Anesthesia for cystolithotomy
1002945,00872,10000147,Anesthesia for extracorporeal shock wave lithotripsy with water bath
1002946,00873,10000148,Anesthesia for extracorporeal shock wave lithotripsy
1002948,00880,10024512,Anesthesia for procedure on lower abdominal wall vessel
1002949,00882,10000150,Anesthesia for inferior vena cava ligation
1002951,00902,10000151,Anesthesia for anorectal procedure
1002952,00904,10000152,Anesthesia for radical perineal procedure
1002953,00906,10000153,Anesthesia for vulvectomy
1002954,00908,10000154,Anesthesia for perineal prostatectomy
1002956,00910,10000155,Anesthesia for transurethral procedure
1002956,00910,10029410,Anesthesia for urethrocystoscopy
1002957,00912,10024514,Anesthesia for resection of bladder tumor by transurethral approach
1002958,00914,10024515,Anesthesia for resection of prostate by transurethral approach
1002959,00916,10024516,Anesthesia for management of post-transurethral resection bleeding
1002960,00918,10024517,Anesthesia for transurethral fragmentation and manipulation of ureteral calculus
1002960,00918,10024518,Anesthesia for transurethral fragmentation of ureteral calculus
1002960,00918,10024519,"Anesthesia for transurethral fragmentation, manipulation and removal of ureteral calculus"
1002960,00918,10024520,Anesthesia for transurethral manipulation and removal of ureteral calculus
1002962,00920,10000161,Anesthesia for procedure on male genitalia
1002962,00920,10024521,Anesthesia for open urethral procedure
1002963,00921,10000162,Anesthesia for bilateral vasectomy
1002963,00921,10000163,Anesthesia for unilateral vasectomy
1002963,00921,10000164,Anesthesia for vasectomy
1002964,00922,10024522,Anesthesia for procedure on seminal vesicle
1002965,00924,10000166,Anesthesia for procedure on bilateral undescended testis
1002965,00924,10000167,Anesthesia for procedure on undescended testis
1002965,00924,10000168,Anesthesia for procedure on unilateral undescended testis
1002966,00926,10000169,Anesthesia for radical inguinal orchiectomy
1002967,00928,10000170,Anesthesia for radical abdominal orchiectomy
1002968,00930,10000171,Anesthesia for bilateral orchiopexy
1002968,00930,10000172,Anesthesia for orchiopexy
1002968,00930,10000173,Anesthesia for unilateral orchiopexy
1002969,00932,10000174,Anesthesia for complete amputation of penis
1002970,00934,10000175,Anesthesia for radical amputation of penis with bilateral inguinal lymphadenectomy
1002971,00936,10000176,Anesthesia for radical amputation of penis with bilateral inguinal and iliac lymphadenectomy
1002972,00938,10000177,Anesthesia for insertion of penile prosthesis
1002972,00938,10024523,Anesthesia for insertion of penile prosthesis by perineal approach
1002974,00940,10000178,Anesthesia for procedure on vagina
1002974,00940,10024524,Anesthesia for biopsy of cervix
1002974,00940,10024525,Anesthesia for biopsy of endometrium
1002974,00940,10024526,Anesthesia for biopsy of labia
1002974,00940,10024527,Anesthesia for biopsy of vagina
1002975,00942,10000179,Anesthesia for colporrhaphy
1002975,00942,10000180,Anesthesia for colpotomy
1002975,00942,10000181,Anesthesia for open procedure on urethra
1002975,00942,10000182,Anesthesia for procedure on vagina
1002975,00942,10000183,Anesthesia for vaginectomy
1002976,00944,10024528,Anesthesia for hysterectomy by vaginal approach
1002977,00948,10000185,Anesthesia for cervical cerclage
1002978,00950,10000186,Anesthesia for culdoscopy
1002979,00952,10000187,Anesthesia for hysterosalpingography
1002979,00952,10000188,Anesthesia for hysteroscopy
1002979,00952,10000189,Anesthesia for hysteroscopy and hysterosalpingography
1002981,01112,10000190,Anesthesia for bone marrow aspiration and biopsy from anterior iliac crest
1002981,01112,10000191,Anesthesia for bone marrow aspiration and biopsy from posterior iliac crest
1002981,01112,10000192,Anesthesia for bone marrow aspiration from anterior iliac crest
1002981,01112,10000193,Anesthesia for bone marrow aspiration from posterior iliac crest
1002981,01112,10000194,Anesthesia for bone marrow biopsy from anterior iliac crest
1002981,01112,10000195,Anesthesia for bone marrow biopsy from posterior iliac crest
1002982,01120,10000196,Anesthesia for procedure on bony pelvis
1002983,01130,10000197,Anesthesia for application of body cast
1002983,01130,10000198,Anesthesia for revision of body cast
1002984,01140,10000199,Anesthesia for interpelviabdominal hindquarter amputation
1002985,01150,10000200,Anesthesia for radical procedure on tumor of pelvis
1002986,01160,10000201,Anesthesia for closed procedure involving sacroiliac joint
1002986,01160,10000202,Anesthesia for closed procedure involving symphysis pubis
1002987,01170,10024529,Anesthesia for open procedure on sacroiliac joint
1002987,01170,10024530,Anesthesia for open procedure on symphysis pubis
1002988,01173,10024531,Anesthesia for open repair of fracture of pelvic column
1002988,01173,10024532,Anesthesia for open repair of fracture of pelvis
1002988,01173,10024533,Anesthesia for open repair of fracture of pelvis involving acetabulum
1002993,01200,10000209,Anesthesia for closed procedure on hip joint
1002994,01202,10000210,Anesthesia for arthroscopic procedure on hip joint
1002996,01210,10000211,Anesthesia for open procedure on hip joint
1002997,01212,10000212,Anesthesia for disarticulation of hip
1002998,01214,10000213,Anesthesia for total hip arthroplasty
1002999,01215,10000214,Anesthesia for revision of total hip arthroplasty
1003000,01220,10024536,Anesthesia for closed procedure on femur
1003000,01220,10024537,Anesthesia for closed procedure on upper two-thirds of femur
1003002,01230,10024538,Anesthesia for open procedure on femur
1003002,01230,10024539,Anesthesia for open procedure on upper two-thirds of femur
1003003,01232,10000217,Anesthesia for amputation of upper two-third of femur
1003003,01232,10024540,Anesthesia for amputation of femur
1003004,01234,10000218,Anesthesia procedure for radical resection of upper two-third of femur
1003004,01234,10024541,Anesthesia procedure for radical resection of femur
1003005,01250,10000219,"Anesthesia for procedure on nerve, muscle, tendon, fascia, and bursa of upper leg"
1003005,01250,10024542,Anesthesia for procedure on bursa of upper leg
1003005,01250,10024543,Anesthesia for procedure on fascia of upper leg
1003005,01250,10024544,Anesthesia for procedure on muscle of upper leg
1003005,01250,10024545,Anesthesia for procedure on nerve of upper leg
1003005,01250,10024546,Anesthesia for procedure on tendon of upper leg
1003006,01260,10000220,Anesthesia for procedure on vein of upper leg
1003006,01260,10024547,Anesthesia for exploration of vein of upper leg
1003008,01270,10024548,Anesthesia for procedure on artery of upper leg
1003008,01270,10024549,Anesthesia for procedure on bypass graft on artery of upper leg
1003009,01272,10000222,Anesthesia for ligation of femoral artery
1003010,01274,10000223,Anesthesia for embolectomy of femoral artery
1003012,01320,10000225,"Anesthesia for procedure on nerve, muscle, tendon, fascia, and bursa of knee and popliteal area"
1003012,01320,10000226,"Anesthesia for procedure on nerve, muscle, tendon, fascia, and bursa of popliteal area"
1003012,01320,10024550,Anesthesia for procedure on bursa of knee and popliteal area
1003012,01320,10024551,Anesthesia for procedure on bursa of knee area
1003012,01320,10024552,Anesthesia for procedure on bursa of popliteal area
1003012,01320,10024553,Anesthesia for procedure on muscle of knee and popliteal area
1003012,01320,10024554,Anesthesia for procedure on muscle of knee area
1003012,01320,10024555,Anesthesia for procedure on muscle of popliteal area
1003012,01320,10024556,Anesthesia for procedure on nerve of knee and popliteal area
1003012,01320,10024557,Anesthesia for procedure on nerve of knee area
1003012,01320,10024558,Anesthesia for procedure on nerve of popliteal area
1003012,01320,10024559,"Anesthesia for procedure on nerve, muscle, tendon, fascia, and bursa of knee area"
1003012,01320,10024560,Anesthesia for procedure on tendon of knee and popliteal area
1003012,01320,10024561,Anesthesia for procedure on tendon of knee area
1003012,01320,10024562,Anesthesia for procedure on tendon of popliteal area
1003013,01340,10000227,Anesthesia for closed procedure on lower one-third of femur
1003013,01340,10024563,Anesthesia for closed procedure on femur
1003014,01360,10000228,Anesthesia for open procedure on lower one-third of femur
1003014,01360,10024564,Anesthesia for open procedure on femur
1003015,01380,10000229,Anesthesia for closed procedure on knee joint
1003016,01382,10000230,Anesthesia for diagnostic arthroscopic procedure on knee
1003017,01390,10000232,Anesthesia for closed procedure on upper end of tibia and fibula
1003017,01390,10000233,"Anesthesia for closed procedure on upper end of tibia, fibula, and patella"
1003017,01390,10024565,Anesthesia for closed procedure on fibula
1003017,01390,10024566,Anesthesia for closed procedure on patella
1003017,01390,10024567,Anesthesia for closed procedure on tibia
1003017,01390,10024568,Anesthesia for closed procedure on upper end of fibula
1003017,01390,10024569,Anesthesia for closed procedure on upper end of tibia
1003018,01392,10000235,Anesthesia for open procedure on upper end of tibia and fibula
1003018,01392,10000236,"Anesthesia for open procedure on upper end of tibia, fibula, and patella"
1003018,01392,10024570,Anesthesia for closed procedure on fibula
1003018,01392,10024571,Anesthesia for closed procedure on patella
1003018,01392,10024572,Anesthesia for closed procedure on tibia
1003018,01392,10024573,Anesthesia for open procedure on patella
1003018,01392,10024574,Anesthesia for open procedure on upper end of fibula
1003018,01392,10024575,Anesthesia for open procedure on upper end of tibia
1003020,01400,10024576,Anesthesia for open procedure on knee joint
1003020,01400,10024577,Anesthesia for surgical arthroscopic procedure on knee joint
1003021,01402,10000238,Anesthesia for arthroscopic total knee arthroplasty
1003022,01404,10024578,Anesthesia for disarticulation at knee
1003023,01420,10000240,Anesthesia for application of cast of knee joint
1003023,01420,10000241,Anesthesia for removal of cast of knee joint
1003023,01420,10000242,Anesthesia for repair of cast of knee joint
1003025,01430,10000243,Anesthesia for procedure on vein of knee and popliteal area
1003025,01430,10024579,Anesthesia for procedure on vein of knee area
1003025,01430,10024580,Anesthesia for procedure on vein of popliteal area
1003026,01432,10000244,Anesthesia for arteriovenous fistula of knee and popliteal area
1003026,01432,10024581,Anesthesia for arteriovenous fistula of knee area
1003026,01432,10024582,Anesthesia for arteriovenous fistula of popliteal area
1003028,01440,10000245,Anesthesia procedure on artery of knee and popliteal area
1003028,01440,10024583,Anesthesia procedure on artery of knee area
1003028,01440,10024584,Anesthesia procedure on artery of popliteal area
1003029,01442,10000246,Anesthesia for popliteal thromboendarterectomy
1003029,01442,10000247,Anesthesia for popliteal thromboendarterectomy with patch graft
1003030,01444,10000248,Anesthesia for excision and graft of popliteal aneurysm
1003030,01444,10000249,Anesthesia for excision and graft of popliteal occlusion
1003030,01444,10000250,Anesthesia for excision and repair of popliteal aneurysm
1003030,01444,10000251,Anesthesia for excision and repair of popliteal occlusion
1003032,01462,10000252,Anesthesia for closed procedure on ankle
1003032,01462,10000253,Anesthesia for closed procedure on foot
1003032,01462,10000254,Anesthesia for closed procedure on lower leg
1003032,01462,10000255,"Anesthesia for closed procedure on lower leg, ankle and foot"
1003033,01464,10000256,Anesthesia for arthroscopic procedure of ankle
1003033,01464,10000257,Anesthesia for arthroscopic procedure of ankle and foot
1003033,01464,10000258,Anesthesia for arthroscopic procedure of foot
1003035,01470,10024585,"Anesthesia for procedure on lower leg, ankle, and foot"
1003035,01470,10024586,Anesthesia for procedure on muscle of ankle area
1003035,01470,10024587,Anesthesia for procedure on muscle of foot
1003035,01470,10024588,Anesthesia for procedure on muscle of lower leg
1003035,01470,10024589,Anesthesia for procedure on nerve of ankle area
1003035,01470,10024590,Anesthesia for procedure on nerve of foot
1003035,01470,10024591,Anesthesia for procedure on nerve of lower leg
1003035,01470,10024592,"Anesthesia for procedure on nerve of lower leg, ankle, and foot"
1003036,01472,10000260,Anesthesia for repair of ruptured achilles tendon
1003036,01472,10000261,Anesthesia for repair of ruptured achilles tendon with graft
1003037,01474,10000262,Anesthesia for gastrocnemius recession
1003039,01480,10000263,"Anesthesia for open procedure on bone of lower leg, ankle, and foot"
1003039,01480,10024593,Anesthesia for open procedure on bone of ankle area
1003039,01480,10024594,Anesthesia for open procedure on bone of foot
1003039,01480,10024595,Anesthesia for open procedure on bone of lower leg
1003040,01482,10000264,"Anesthesia for radical resection of bone of lower leg, ankle and foot"
1003040,01482,10024596,Anesthesia for radical resection of bone of ankle area
1003040,01482,10024597,Anesthesia for radical resection of bone of foot
1003040,01482,10024598,Anesthesia for radical resection of bone of lower leg
1003041,01484,10000265,Anesthesia for osteoplasty of fibula
1003041,01484,10000266,Anesthesia for osteoplasty of tibia
1003041,01484,10000267,Anesthesia for osteoplasty of tibia and fibula
1003041,01484,10000268,Anesthesia for osteotomy of fibula
1003041,01484,10000269,Anesthesia for osteotomy of tibia
1003041,01484,10000270,Anesthesia for osteotomy of tibia and fibula
1003042,01486,10000271,Anesthesia for total ankle replacement
1003043,01490,10000272,Anesthesia for application of cast of lower leg
1003043,01490,10000273,Anesthesia for removal of cast of lower leg
1003043,01490,10000274,Anesthesia for repair of cast of lower leg
1003045,01500,10000275,Anesthesia for procedure on artery of lower leg
1003045,01500,10024599,Anesthesia for bypass graft on artery of lower leg
1003046,01502,10000276,Anesthesia for direct embolectomy of lower leg artery
1003046,01502,10024600,Anesthesia for embolectomy of lower leg artery using catheter
1003048,01520,10000278,Anesthesia for procedure on vein of lower leg
1003049,01522,10000279,Anesthesia for direct thrombectomy of vein of lower leg
1003049,01522,10024601,Anesthesia for thrombectomy of vein of lower leg using catheter
1003051,01610,10000281,Anesthesia for procedure on shoulder and axilla
1003051,01610,10024602,Anesthesia for procedure on axilla
1003051,01610,10024603,Anesthesia for procedure on shoulder area
1003052,01620,10000282,"Anesthesia for closed procedure on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint"
1003052,01620,10024604,Anesthesia for closed procedure on acromioclavicular joint
1003052,01620,10024605,Anesthesia for closed procedure on glenohumeral joint
1003052,01620,10024606,Anesthesia for closed procedure on humeral head
1003052,01620,10024607,Anesthesia for closed procedure on humeral neck
1003052,01620,10024608,Anesthesia for closed procedure on sternoclavicular joint
1003053,01622,10000283,Anesthesia for diagnostic arthroscopic procedure of shoulder joint
1003055,01630,10000284,"Anesthesia for arthroscopic procedure on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint"
1003055,01630,10000285,"Anesthesia for open procedure on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint"
1003057,01634,10024609,Anesthesia for disarticulation of glenohumeral joint
1003058,01636,10024610,Anesthesia for interthoracoscapular amputation
1003059,01638,10024611,Anesthesia for total shoulder replacement
1003061,01650,10000292,Anesthesia for procedure on artery of shoulder and axilla
1003061,01650,10024612,Anesthesia for procedure on artery of axilla
1003061,01650,10024613,Anesthesia for procedure on artery of shoulder area
1003062,01652,10024614,Anesthesia for procedure on axillary aneurysm
1003062,01652,10024615,Anesthesia for procedure on brachial aneurysm
1003063,01654,10024616,Anesthesia for bypass graft on artery of axilla
1003063,01654,10024617,Anesthesia for bypass graft on artery of shoulder and axilla
1003063,01654,10024618,Anesthesia for bypass graft on artery of shoulder area
1003064,01656,10000295,Anesthesia for axillary-femoral bypass graft
1003065,01670,10000296,Anesthesia for procedure on vein of shoulder and axilla
1003065,01670,10024619,Anesthesia for procedure on vein of axilla
1003065,01670,10024620,Anesthesia for procedure on vein of shoulder area
1003067,01680,10000297,Anesthesia for application of cast of shoulder
